categoria,porcentagem
Object-Technology Programming,0.23201856148491878
Object-Oriented Programming,0.9280742459396751
Computer Graphics,1.3921113689095126
Open Source,0.46403712296983757
XML,0.9280742459396751
Networking,1.6241299303944314
Algorithmic Art,0.23201856148491878
java,0.23201856148491878
PHP,0.23201856148491878
Miscella,0.23201856148491878
Client-Server,2.5522041763341066
Programming,2.784222737819025
internet,0.23201856148491878
Java,22.2737819025522
Miscellaneous,0.46403712296983757
Internet,9.51276102088167
Microsoft/.NET,0.23201856148491878
Next Generation Databases,0.23201856148491878
S,0.23201856148491878
P,0.23201856148491878
Computer Graph,0.23201856148491878
Web Development,3.944315545243619
Theory,1.6241299303944314
PowerBuilder,1.6241299303944314
Software Development,0.23201856148491878
Python,1.3921113689095126
Software Engineering,3.7122969837587005
In Action,0.23201856148491878
.NET,0.23201856148491878
Perl,1.3921113689095126
Mobile Technology,1.3921113689095126
Microsoft .NET,7.888631090487238
Business,2.784222737819025
Mobile,0.23201856148491878
Microsoft,1.8561484918793503
Client Server,0.23201856148491878
SOA,0.23201856148491878
